time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-24 00:00:00+00:00,3,2,201,15
2023-05-25 00:00:00+00:00,5,3,51,12
2023-05-26 00:00:00+00:00,8,5,177,10
2023-05-27 00:00:00+00:00,3,2,143,16
2023-05-28 00:00:00+00:00,3,2,105,7
2023-05-29 00:00:00+00:00,6,5,156,15
2023-05-30 00:00:00+00:00,5,3,117,6
2023-05-31 00:00:00+00:00,3,2,174,13
2023-06-01 00:00:00+00:00,4,3,68,11
2023-06-02 00:00:00+00:00,3,2,45,7
2023-06-03 00:00:00+00:00,4,3,113,10
2023-06-04 00:00:00+00:00,5,3,148,13
2023-06-05 00:00:00+00:00,4,3,71,10
2023-06-06 00:00:00+00:00,3,2,33,6
2023-06-07 00:00:00+00:00,3,2,190,14
2023-06-08 00:00:00+00:00,3,2,73,8
2023-06-09 00:00:00+00:00,4,3,88,6
2023-06-10 00:00:00+00:00,5,4,60,9
2023-06-11 00:00:00+00:00,3,2,74,13
2023-06-12 00:00:00+00:00,5,4,54,5
2023-06-13 00:00:00+00:00,4,3,54,14
2023-06-14 00:00:00+00:00,3,2,114,15
2023-06-15 00:00:00+00:00,3,2,31,7
2023-06-16 00:00:00+00:00,4,3,117,8
2023-06-17 00:00:00+00:00,3,2,68,11
2023-06-18 00:00:00+00:00,3,2,111,10
2023-06-19 00:00:00+00:00,4,3,65,7
2023-06-20 00:00:00+00:00,6,4,124,10
2023-06-21 00:00:00+00:00,5,4,134,15
2023-06-22 00:00:00+00:00,6,4,114,17
2023-06-23 00:00:00+00:00,1,1,35,11
2023-06-24 00:00:00+00:00,4,3,56,8
2023-06-25 00:00:00+00:00,3,2,53,11
2023-06-26 00:00:00+00:00,8,6,67,12
2023-06-27 00:00:00+00:00,1,1,33,9
2023-06-28 00:00:00+00:00,3,2,87,9
2023-06-29 00:00:00+00:00,3,2,104,13
2023-06-30 00:00:00+00:00,4,3,41,11
2023-07-01 00:00:00+00:00,3,2,95,13
2023-07-02 00:00:00+00:00,3,2,128,12
2023-07-03 00:00:00+00:00,7,6,104,16
2023-07-04 00:00:00+00:00,5,4,129,12
2023-07-05 00:00:00+00:00,3,2,65,10
2023-07-06 00:00:00+00:00,3,2,59,8
2023-07-07 00:00:00+00:00,3,2,150,9
2023-07-08 00:00:00+00:00,6,5,149,12
2023-07-09 00:00:00+00:00,4,3,170,7
2023-07-10 00:00:00+00:00,6,4,88,6
2023-07-11 00:00:00+00:00,3,2,123,8
